id,دانشكده,گروه آموزشي,شماره و گروه درس,نام درس,واحد کل,واحد ع,ظر فيت,ثبت نام شده,تعداد ليست انتظار,جنسيت,نام استاد,زمان و مكان ارائه/ امتحان,توضيحات,امكان اخذ درس توسط ساير مراكز,حذف اضطراري
1,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010104_01,آمارو احتمالات,3,1,30,1,0,مختلط,وليزاده محرم,"درس(ت): دوشنبه    09:30-11:30 مکان: كلاس 203
 درس(ع): دوشنبه    13:00-15:00 مکان: كلاس 203
  امتحان(1404.11.04)  ساعت : 07:30-09:30",,-,امكان دارد
2,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010205_01,آبياري عمومي,3,1,35,9,0,مختلط,شهرياري عليرضا,"درس(ت): چهارشنبه  09:30-11:30 مکان: كلاس 203
 درس(ع): چهارشنبه  13:00-15:00
  امتحان(1404.10.28)  ساعت : 09:30-11:30",,-,امكان دارد
3,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010214_01,انسان ومحيط زيست,2,0,35,19,0,مختلط,شهرياري عليرضا,"درس(ت): سه شنبه   13:00-15:00 مکان: كلاس 201
  امتحان(1404.10.29)  ساعت : 07:30-09:30",,-,امكان دارد
4,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010363_01,آشنايي با سازه ها درفضاي سبز,2,1,35,1,0,مختلط,حسيني نسب مرضيه,"درس(ت): سه شنبه   09:30-11:30 ز مکان: كلاس 202
 درس(ع): دوشنبه    09:30-11:30
  امتحان(1404.10.29)  ساعت : 07:30-09:30",,-,امكان دارد
5,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010364_01,بيان تصويري,3,2,35,12,0,مختلط,اساتيد گروه آموزشي,"درس(ت): شنبه      13:00-15:00 ز مکان: گراقيك و نقشه كشي 01
 درس(ع): شنبه      07:30-09:30 مکان: گراقيك و نقشه كشي 01
 درس(ع): شنبه      09:30-11:30 مکان: گراقيك و نقشه كشي 01
  امتحان(1404.11.07)  ساعت : 09:30-11:30",,-,امكان دارد
6,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010365_01,پروژه,3,3,15,1,0,مختلط,اساتيد گروه آموزشي,,,-,امكان دارد
7,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010367_01,طراحي كاشت گياهان زينتي,3,2,35,10,0,مختلط,ناروئي بهروز,"درس(ت): يك شنبه   18:00-20:00 ف مکان: سالن اجتماعات
 درس(ع): دوشنبه    13:00-15:00 مکان: گراقيك و نقشه كشي 01
 درس(ع): سه شنبه   18:00-20:00 مکان: گراقيك و نقشه كشي 01",,-,امكان دارد
8,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010368_01,طراحي فضاهاي شهري,3,2,35,13,0,مختلط,"رخشاني نسب حميدرضا
ناروئي بهروز","درس(ت): شنبه      18:00-20:00 ز مکان: كلاس 201
 درس(ع): سه شنبه   07:30-09:30 مکان: گراقيك و نقشه كشي 01
 درس(ع): سه شنبه   09:30-11:30 مکان: گراقيك و نقشه كشي 01",,-,امكان دارد
9,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010377_01,سيستم هاي آبياري در فضاي سبز,3,1,35,11,0,مختلط,وليزاده محرم,"درس(ت): چهارشنبه  09:30-11:30 مکان: كلاس 202
 درس(ع): يك شنبه   07:30-09:30
  امتحان(1404.10.25)  ساعت : 09:30-11:30",,-,امكان دارد
10,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010381_01,مديريت فضاي هاي سبز,2,0,35,20,0,مختلط,وليزاده محرم,"درس(ت): شنبه      15:00-17:00 مکان: كلاس 203
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
11,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010390_01,نقشه كشي و ترسيم فني در فضاي سبز,2,2,35,4,0,مختلط,آذين فر محمدجواد,"درس(ع): يك شنبه   15:00-17:00
 درس(ع): دوشنبه    07:30-09:30",,-,امكان دارد
12,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010393_01,اصول و روش هاي ازدياد گياهان,3,1,35,12,0,مختلط,اساتيد گروه آموزشي,"درس(ت): يك شنبه   07:30-09:30 مکان: كلاس 202
 درس(ع): دوشنبه    07:30-09:30",,-,امكان دارد
13,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010397_01,مهارت هاي گل كاري 1,1,1,35,9,0,مختلط,وليزاده محرم,"درس(ع): چهارشنبه  07:30-09:30
  امتحان(1404.11.01)  ساعت : 07:30-09:30",,-,امكان دارد
14,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010399_01,طراحي پارك هاي ويژه,2,2,35,13,0,مختلط,ناروئي بهروز,"درس(ع): دوشنبه    07:30-09:30 مکان: گراقيك و نقشه كشي 01
 درس(ع): سه شنبه   13:00-15:00 مکان: گراقيك و نقشه كشي 01
  امتحان(1404.11.08)  ساعت : 07:30-09:30",,-,امكان دارد
15,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010418_01,آناتومي و فيزيولوژي گياهي,3,1,35,3,0,مختلط,اميري اعظم,"درس(ت): يك شنبه   07:30-09:30 مکان: كلاس 101
 درس(ع): دوشنبه    09:30-11:30
  امتحان(1404.10.30)  ساعت : 09:30-11:30",,-,امكان دارد
16,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010424_01,طرح آزمايش هاي كشاورزي(1),3,1,35,13,0,مختلط,وليزاده محرم,"درس(ت): سه شنبه   07:30-09:30 مکان: سالن اجتماعات
 درس(ع): سه شنبه   15:00-17:00
  امتحان(1404.11.04)  ساعت : 09:30-11:30",,-,امكان دارد
17,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010425_01,شناسايي و مديريت علف هاي هرز,3,1,35,11,0,مختلط,اساتيد گروه آموزشي,"درس(ت): دوشنبه    09:30-11:30 مکان: كلاس 202
 درس(ع): چهارشنبه  15:00-17:00
  امتحان(1404.10.30)  ساعت : 07:30-09:30",,-,امكان دارد
18,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010426_01,پارك هاي جنگلي,2,1,35,9,0,مختلط,شهرياري عليرضا,"درس(ت): دوشنبه    18:00-20:00 مکان: كلاس 201
 درس(ع): چهارشنبه  18:00-20:00
  امتحان(1404.10.29)  ساعت : 09:30-11:30",,-,امكان دارد
19,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010429_01,سمينار 1,1,0,35,7,0,مختلط,اميري اعظم,درس(ت): سه شنبه   07:30-09:30 ف مکان: كلاس 202,,-,امكان دارد
20,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010430_01,سمينار2,1,0,35,19,0,مختلط,اميري اعظم,"درس(ت): يك شنبه   13:00-15:00 ف مکان: كلاس 203
  امتحان(1404.11.01)  ساعت : 09:30-11:30",,-,امكان دارد
21,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010431_01,كنترل آفات و بيماريهاي مهم در فضاي سبز,3,1,35,13,0,مختلط,اميري اعظم,"درس(ت): چهارشنبه  07:30-09:30 مکان: سالن اجتماعات
 درس(ع): چهارشنبه  13:00-15:00",,-,امكان دارد
22,جغرافيا و برنامه ريزي محيطي,مهندسي فضاي سبز,1010607_01,برنامه ريزي و طراحي تفرجگاه ها,2,1,15,3,0,مختلط,شهرياري عليرضا,"درس(ت): يك شنبه   18:00-20:00 مکان: كلاس 203
 درس(ع): شنبه      13:00-15:00",,-,امكان دارد
