شماره و گروه درس,نام درس,ظر فيت,جنسيت,نام استاد,ساعات ارائه و امتحان,محل,دروس پيش نياز، همنياز، متضاد و معادل,توضيحات,واحد_کل,واحد_ع,_unit_a_col_used,is_fake,fake_reason
1818080_01,تربيت بدني,15,مرد,نخ زري مقدم محسن,درس(ع): سه شنبه 13:00-15:00,سالن ورزشي 22 بهمن _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_02,تربيت بدني,15,مرد,نخ زري مقدم محسن,درس(ع): چهارشنبه 13:00-15:00,سالن ورزشي 22 بهمن _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_03,تربيت بدني,15,مرد,رخشاني امير حسين,درس(ع): شنبه 15:00-17:00,سالن ورزشي 22 بهمن _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_04,تربيت بدني,15,مرد,رخشاني امير حسين,درس(ع): شنبه 18:00-20:00,سالن ورزشي 22 بهمن _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_06,تربيت بدني,15,مرد,رخشاني امير حسين,درس(ع): يك شنبه 18:00-20:00,سالن ورزشي 22 بهمن _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_07,تربيت بدني,15,مرد,رخشاني امير حسين,درس(ع): دوشنبه 18:00-20:00,سالن ورزشي 22 بهمن _ آمادگي جسماني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_08,تربيت بدني,15,مرد,مولائي رحمت اله,درس(ع): يك شنبه 18:00-20:00,سالن ورزشي 22 بهمن _ آمادگي جسماني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_09,تربيت بدني,15,مرد,مولائي رحمت اله,درس(ع): سه شنبه 15:00-17:00,سالن ورزشي 22 بهمن _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_10,تربيت بدني,15,مرد,مولائي رحمت اله,درس(ع): سه شنبه 18:00-20:00,سالن ورزشي 22 بهمن _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_15,تربيت بدني,15,زن,ريگي مينا,درس(ع): يك شنبه 07:30-09:30,سالن ورزشي كوثر _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_16,تربيت بدني,15,زن,ريگي مينا,درس(ع): يك شنبه 09:30-11:30,سالن ورزشي كوثر _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_17,تربيت بدني,15,زن,ريگي مينا,درس(ع): دوشنبه 07:30-09:30,سالن ورزشي كوثر _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_18,تربيت بدني,15,زن,راشكي قلعه نو روشنا,درس(ع): دوشنبه 07:30-09:30,سالن ورزشي كوثر _ آمادگي جسماني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_19,تربيت بدني,15,زن,راشكي قلعه نو روشنا,درس(ع): دوشنبه 09:30-11:30,سالن ورزشي كوثر _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
1818080_20,تربيت بدني,15,زن,جهانتيغ زهرا,درس(ع): سه شنبه 07:30-09:30,سالن ورزشي كوثر _ تربيت بدني,"معادل: 4816109 تربيت بدني 1
معادل: 1816070 تربيت بدني 1
معادل: 1818084 تربيت بدني ويژه
معادل: 1816080 تربيت بدني
معادل: 1816084 تربيت بدني ويژه",,1,1,واحد_ع,False,
