نام درس,واحد,پیشنیاز همنیاز,نوع
آزمايشگاه مدارهاي منطقي,1,,تخصصي الزامي
آزمايشگاه معماري كامپيوتر,1,,تخصصي الزامي
كارگاه كامپيوتر,1,,تخصصي
روش پژوهش و ارائه,3,,تخصصي الزامي
مدارهاي منطقي,3,,تخصصي
مباني كامپيوتر و برنامه سازي,3,,تخصصي
برنامه سازي پيشرفته,3,,تخصصي
سيستم هاي عامل,3,,تخصصي الزامي
هوش مصنوعي,3,,تخصصي الزامي
آزمايشگاه شبكه هاي كامپيوتري,1,,تخصصي الزامي
آزمايشگاه سيستم هاي عامل,1,,تخصصي الزامي
شبكه هاي كامپيوتري,3,,تخصصي الزامي
امنيت سيستم هاي كامپيوتري,3,,تخصصي الزامي
تحليل و طراحي نرم افزار,3,,تخصصي الزامي
طراحي سيستم هاي ديجيتال,3,,تخصصي الزامي
داده ساختارها و الگوريتم ها,3,,تخصصي الزامي
آزمايشگاه مدارهاي الكتريكي و الكترونيكي,1,,تخصصي الزامي
مدارهاي الكتريكي و الكترونيكي,3,,تخصصي الزامي
زبان تخصصي كامپيوتر,2,,تخصصي الزامي
رياضيات گسسته,3,,تخصصي
معماري كامپيوتر,3,,تخصصي الزامي
سيستم هاي نهفته و بيدرنگ,3,,تخصصي الزامي
نظريه زبانها و ماشينها,3,,تخصصي الزامي
جبر خطي,3,,تخصصي الزامي
سيستم هاي كنترل خطي,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
فناوري اطلاعات,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
مباني بينايي سه بعدي كامپيوتري,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
مدرهاي منطقي پيشرفته,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
برنامه سازي وب,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
برنامه سازي موبايل,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
رايانش چند هسته اي,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
مدارهاي واسط,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
گرافيك كامپيوتري,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
مديريت و برنامه ريزي راهبردي فا,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
نظريه محاسبات,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
نظريه بازي ها,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
اندازه گيري و كنترل كامپيوتري,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
ايجاد چابك نرم افزار,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
زبان هاي توصيف سخت افزار,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
ازمايشگاه اتوماسيون صنعتي,1,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
مديريت و برنامه ريزي راهبردي فناوري اطلاعات,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
مباني ساخت بازي هاي رايانه اي,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
مباني نطريه بازي ها,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
مباني رمزنگاري,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
مقدمه اي بر رباتيك,3,,تخصصي اختياري(اخذ ده واحد شامل حداقل يك واحد عملي)
